title,text
aea.configurations.manager,"aea.configurations.manager. <a id=""aea.configurations.manager""></a> # aea.configurations.manager Implementation of the AgentConfigManager. <a id=""aea.configurations.manager.VariableDoesNotExist""></a>"
aea.configurations.manager,"VariableDoesNotExist Objects. Variable does not exist in a config exception. <a id=""aea.configurations.manager.handle_dotted_path""></a> #### handledottedpath Separate the path between path to resource and json path to attribute. Allowed values: 'agent.an_attribute_name' 'protocols.my_protocol.an_attribute_name' 'connections.my_connection.an_attribute_name' 'contracts.my_contract.an_attribute_name' 'skills.my_skill.an_attribute_name' 'vendor.author.[protocols|contracts|connections|skills].package_name.attribute_name We also return the component id to retrieve the configuration of a specific component. Notice that at this point we don't know the version, so we put 'latest' as version, but later we will ignore it because we will filter with only the component prefix (i.e. the triple type, author and name). **Arguments**: - : dotted path. - : the author string. - : project path **Returns**: Tuple[list of settings dict keys, filepath, config loader, component id]. <a id=""aea.configurations.manager.find_component_directory_from_component_id""></a> #### findcomponentdirectoryfromcomponentid Find a component directory from component id. <a id=""aea.configurations.manager.AgentConfigManager""></a>"
aea.configurations.manager,"AgentConfigManager Objects. AeaConfig manager. <a id=""aea.configurations.manager.AgentConfigManager.__init__""></a> #### init Init manager. **Arguments**: - : AgentConfig to manage. - : directory where project for agent_config placed. - : whether or not it is env vars friendly <a id=""aea.configurations.manager.AgentConfigManager.load_component_configuration""></a> #### loadcomponentconfiguration Load component configuration from the project directory. **Arguments**: - : Id of the component to load config for. - : bool. **Returns**: ComponentConfiguration <a id=""aea.configurations.manager.AgentConfigManager.agent_config_file_path""></a> #### agentconfigfilepath Return agent config file path. <a id=""aea.configurations.manager.AgentConfigManager.load""></a> #### load Create AgentConfigManager instance from agent project path. <a id=""aea.configurations.manager.AgentConfigManager.set_variable""></a> #### setvariable Set config variable. **Arguments**: - : str dotted path or List[Union[ComponentId, str]] - : one of the json friendly objects. <a id=""aea.configurations.manager.AgentConfigManager.get_variable""></a> #### getvariable Set config variable. **Arguments**: - : str dotted path or List[Union[ComponentId, str]] **Returns**: json friendly value. <a id=""aea.configurations.manager.AgentConfigManager.update_config""></a> #### updateconfig Apply overrides for agent config. Validates and applies agent config and component overrides. Does not save it on the disc! **Arguments**: - : overridden values dictionary **Returns**: None <a id=""aea.configurations.manager.AgentConfigManager.validate_current_config""></a> #### validatecurrentconfig Check is current config valid. <a id=""aea.configurations.manager.AgentConfigManager.json""></a> #### json Return current agent config json representation. <a id=""aea.configurations.manager.AgentConfigManager.dump_config""></a> #### dumpconfig Save agent config on the disc. <a id=""aea.configurations.manager.AgentConfigManager.verify_private_keys""></a> #### verifyprivatekeys Verify private keys. Does not saves the config! Use AgentConfigManager.dump_config() **Arguments**: - : path to an AEA project. - : private_key_helper is a function that use agent config to check the keys - : replace env vars with values, does not dump config - : the password to encrypt/decrypt the private key. **Returns**: the agent configuration manager. <a id=""aea.configurations.manager.AgentConfigManager.get_overridables""></a> #### getoverridables Get config overridables."
aea.configurations.pypi,"aea.configurations.pypi. <a id=""aea.configurations.pypi""></a> # aea.configurations.pypi This module contains a checker for PyPI version consistency. <a id=""aea.configurations.pypi.and_""></a> #### and Do the and between two specifier sets. <a id=""aea.configurations.pypi.is_satisfiable""></a> #### issatisfiable Check if the specifier set is satisfiable. Satisfiable means that there exists a version number that satisfies all the constraints. It is worth noticing that it doesn't mean that that version number with that package actually exists. >>> from packaging.specifiers import SpecifierSet The specifier set "">0.9, ==1.0"" is satisfiable: the version number ""1.0"" satisfies the constraints >>> s1 = SpecifierSet("">0.9,==1.0"") >>> ""1.0"" in s1 True >>> is_satisfiable(s1) True The specifier set ""==1.0, >1.1"" is not satisfiable: >>> s1 = SpecifierSet(""==1.0,>1.1"") >>> is_satisfiable(s1) False For other details, please refer to PEP440: https://www.python.org/dev/peps/pep-0440 **Arguments**: - : the specifier set. **Returns**: False if the constraints are surely non-satisfiable, True if we don't know. <a id=""aea.configurations.pypi.is_simple_dep""></a> #### issimpledep Check if it is a simple dependency. Namely, if it has no field specified, or only the 'version' field set. **Arguments**: - : the dependency **Returns**: whether it is a simple dependency or not <a id=""aea.configurations.pypi.to_set_specifier""></a> #### tosetspecifier Get the set specifier. It assumes to be a simple dependency (see above). <a id=""aea.configurations.pypi.merge_dependencies""></a> #### mergedependencies Merge two groups of dependencies. If some of them are not ""simple"" (see above), and there is no risk of conflict because there is no other package with the same name, we leave them; otherwise we raise an error. **Arguments**: - : the first operand - : the second operand. **Returns**: the merged dependencies. <a id=""aea.configurations.pypi.merge_dependencies_list""></a> #### mergedependencieslist Merge a list of dependencies. **Arguments**: - : the list of dependencies **Returns**: the merged dependencies."
base,base. 
aea.configurations.datatypes,"aea.configurations.datatypes. <a id=""aea.configurations.data_types""></a> # aea.configurations.datatypes Base config data types. <a id=""aea.configurations.data_types.JSONSerializable""></a>"
aea.configurations.datatypes,"JSONSerializable Objects. Interface for JSON-serializable objects. <a id=""aea.configurations.data_types.JSONSerializable.json""></a> #### json Compute the JSON representation. <a id=""aea.configurations.data_types.JSONSerializable.from_json""></a> #### fromjson Build from a JSON object. <a id=""aea.configurations.data_types.PackageVersion""></a>"
aea.configurations.datatypes,"PackageVersion Objects. A package version. <a id=""aea.configurations.data_types.PackageVersion.__init__""></a> #### init Initialize a package version. **Arguments**: - : a string, os a semver.VersionInfo object. <a id=""aea.configurations.data_types.PackageVersion.is_latest""></a> #### islatest Check whether the version is 'latest'. <a id=""aea.configurations.data_types.PackageVersion.__str__""></a> #### str Get the string representation. <a id=""aea.configurations.data_types.PackageVersion.__eq__""></a> #### eq Check equality. <a id=""aea.configurations.data_types.PackageVersion.__lt__""></a> #### lt Compare with another object. <a id=""aea.configurations.data_types.PackageType""></a>"
aea.configurations.datatypes,"PackageType Objects. Package types. <a id=""aea.configurations.data_types.PackageType.to_plural""></a> #### toplural Get the plural name. >>> PackageType.AGENT.to_plural() 'agents' >>> PackageType.PROTOCOL.to_plural() 'protocols' >>> PackageType.CONNECTION.to_plural() 'connections' >>> PackageType.SKILL.to_plural() 'skills' >>> PackageType.CONTRACT.to_plural() 'contracts' **Returns**: pluralised package type <a id=""aea.configurations.data_types.PackageType.__str__""></a> #### str Convert to string. <a id=""aea.configurations.data_types.ComponentType""></a>"
aea.configurations.datatypes,"ComponentType Objects. Enum of component types supported. <a id=""aea.configurations.data_types.ComponentType.to_package_type""></a> #### topackagetype Get package type for component type. <a id=""aea.configurations.data_types.ComponentType.plurals""></a> #### plurals Get the collection of type names, plural. >>> ComponentType.plurals() ['protocols', 'connections', 'skills', 'contracts'] **Returns**: list of all pluralised component types <a id=""aea.configurations.data_types.ComponentType.to_plural""></a> #### toplural Get the plural version of the component type. >>> ComponentType.PROTOCOL.to_plural() 'protocols' >>> ComponentType.CONNECTION.to_plural() 'connections' >>> ComponentType.SKILL.to_plural() 'skills' >>> ComponentType.CONTRACT.to_plural() 'contracts' **Returns**: pluralised component type <a id=""aea.configurations.data_types.ComponentType.__str__""></a> #### str Get the string representation. <a id=""aea.configurations.data_types.PublicId""></a>"
