title,text
Autonomous Economic Agents (AEAs),"Autonomous Economic Agents (AEAs). # Autonomous Economic Agents (AEAs) <iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xpJA4IT5X88"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Autonomous Economic Agents (AEAs),"What is an AEA?. ,What is NOT an AEA?: * **Any agent**: AEAs are NOT meant to address _any_ needs their owners might have. They have a clear and well-defined focus, which is generating economic value for their owner and this is manifested in a variety of different ways in their design. * **Digital twins**: An AEA is NOT it's owner's twin in the digital world; i.e. mirroring their preferences, values, and priorities. An AEA can be given whatever preference, value, and priority its owner wants them to have. * **APIs or Sensors**: These do NOT have any agency, nor proactiveness. They just ""sit there"" and respond to requests or changes in the environment. * **Smart contracts**: Similar to APIs and sensors, smart contracts do NOT display any proactiveness; they are purely reactive to external requests (in their case, contract calls and transactions). * An agent with **Artificial General Intelligence (AGI)**: AEAs have a well-defined, narrow, and goal directed focus that involves some economic gain. !!! info ""Agents and AEAs"" In the rest of the documentation, unless specified, we use the terms **AEA** and **Agent** interchangeably to mean AEA as defined above description."
AEAs vs Agents,"AEAs vs Agents. # AEAs vs Agents AEAs are more than just agents. <img src=""../assets/aea-vs-agent-vs-multiplexer.jpg"" alt=""AEA vs Agent vs Multiplexer"" class=""center"" style=""display: block; margin-left: auto; margin-right: auto;width:100%;""> In this guide, we show some of the differences in terms of code. The <a href=""../build-aea-programmatically"">Build an AEA programmatically</a> guide shows how to programmatically build an AEA. We can build an agent of the <a href=""../api/agent#agent-objects""></a> class programmatically as well. First, import the python and application specific libraries. (Get the directory from the AEA repository .) Unlike an , an does not require a , or module. However, we need to implement 4 abstract methods: - - - - When we run an agent, calls and then the main agent loop. The main agent loop calls , and on each tick. When the agent is stopped via then is called. Such a lightweight agent can be used to implement simple logic."
AEAs vs Agents,"Code an . We define our which simply receives envelopes, prints the sender address and and returns it unopened."
AEAs vs Agents,Instantiate an . 
AEAs vs Agents,Start the Agent. We run the agent from a different thread so that we can still use the main thread to pass it messages.
AEAs vs Agents,Send and Receive an Envelope. We use the input and output text files to send an envelope to our agent and receive a response
AEAs vs Agents,"Shutdown. Finally, stop our agent and wait for it to finish"
AEAs vs Agents,Your Turn. Now it is your turn to develop a simple agent with the class.
AEAs vs Agents,"Entire Code Listing. If you just want to copy and paste the entire script in you can find it here: ??? note ""Click here to see full listing"""
Debugging,Debugging. # Debugging There are multiple ways in which to configure your AEA for debugging during development. We focus on the standard Python approach here.
Debugging,"Using  stdlib. You can add a debugger anywhere in your code: Then simply run you AEA with the mode: For more guidance on how to use check out <a href=""https://docs.python.org/3/library/pdb.html"" target=""_blank"">the documentation</a>."
Debugging,Using an IDE. - For VSCode modify the to include the following information: where should be replaced with the path to the virtual environment and with the working directory for the agent to debug (where the file is).
Core components - Part 2,"Core components - Part 2. # Core components - Part 2 The AEA framework consists of several core components, some required to run an AEA and others optional. In <a href=""../core-components-1"">Core Components - Part 1</a> we described the common components each AEA uses. In this page, we will look at more advanced components."
